Source,Label,Target
Q102229888,Thierry Gautier,http://www.wikidata.org/entity/Q102230070
Q102229888,Fabienne Naegele,http://www.wikidata.org/entity/Q102230370
Q102229888,Etienne Farcot,http://www.wikidata.org/entity/Q102313041
Q102229888,Moulay A. Barkatou,http://www.wikidata.org/entity/Q102312962
Q102229888,Abdelaziz Hilali,http://www.wikidata.org/entity/Q102320465
Q102229888,Aude Rondepierre,http://www.wikidata.org/entity/Q102379024
Q102229888,Adrien Poteaux,http://www.wikidata.org/entity/Q102425279
Q102229888,Hassane Abbas,http://www.wikidata.org/entity/Q102674758
Q102229888,Delphine Boucher,http://www.wikidata.org/entity/Q58130998
Q102229888,Ziad Sultan,http://www.wikidata.org/entity/Q103062406
Q7325629,Marvin Minsky,http://www.wikidata.org/entity/Q204815
Q7325629,David Y. Y. Yun,http://www.wikidata.org/entity/Q95765466
Q7325629,Paul S. Wang,http://www.wikidata.org/entity/Q95837546
Q7325629,Eugene Lawler,http://www.wikidata.org/entity/Q1275356
Q7325629,Richard M. Karp,http://www.wikidata.org/entity/Q92612
Q7325629,William A. Martin,http://www.wikidata.org/entity/Q8003999
Q7325629,Joel Moses,http://www.wikidata.org/entity/Q93129
Q7325629,Carl Engelman,http://www.wikidata.org/entity/Q107502057
Q7325629,Howard H. Aiken,http://www.wikidata.org/entity/Q299723
Q7325629,Bill Gosper,http://www.wikidata.org/entity/Q862150
Q7325629,Richard Fateman,http://www.wikidata.org/entity/Q7325629
Q7325629,Sheila Greibach,http://www.wikidata.org/entity/Q11615
Q7325629,William H. Bossert,http://www.wikidata.org/entity/Q102078634
Q7325629,Stephen Murray Pizer,http://www.wikidata.org/entity/Q102119325
Q7325629,Warren Joseph Plath,http://www.wikidata.org/entity/Q102164634
Q7325629,Barry M. Trager,http://www.wikidata.org/entity/Q102205813
Q7325629,Susumu Kuno,http://www.wikidata.org/entity/Q4326803
Q7325629,Mohamed Jamil Baddoura,http://www.wikidata.org/entity/Q102225244
Q7325629,Charles Popper,http://www.wikidata.org/entity/Q102362095
Q7325629,Peter G. Neumann,http://www.wikidata.org/entity/Q7174137
Q7325629,Michael Genesereth,http://www.wikidata.org/entity/Q21191195
Q7325629,Seymour Papert,http://www.wikidata.org/entity/Q335027
Q7325629,Richard E. Zippel,http://www.wikidata.org/entity/Q95308695
Q6233248,John Fitch,http://www.wikidata.org/entity/Q6233248
Q6233248,James H. Davenport,http://www.wikidata.org/entity/Q6135125
Q6233248,Russell John Bradford,http://www.wikidata.org/entity/Q95757120
Q6233248,Stephen R. Bourne,http://www.wikidata.org/entity/Q92774
Q6233248,Raymond Lyttleton,http://www.wikidata.org/entity/Q2575489
Q6233248,Arthur Charles Norman,http://www.wikidata.org/entity/Q102123184
Q6233248,Brian J. Dupee,http://www.wikidata.org/entity/Q102229359
Q6233248,John Anthony Abbott,http://www.wikidata.org/entity/Q102229308
Q6233248,Michael C. Dewar,http://www.wikidata.org/entity/Q102229350
Q6233248,Nicolas James Doye,http://www.wikidata.org/entity/Q102229358
Q6233248,Nicholas A. Howgrave-Graham,http://www.wikidata.org/entity/Q102229411
Q6233248,J. C. G. Sturdy,http://www.wikidata.org/entity/Q102229505
Q6233248,Michael Gerard Richardson,http://www.wikidata.org/entity/Q102229465
