Source,Label,Target
Q175907,Dominic Hawksley,http://www.wikidata.org/entity/Q5290549
Q175907,Zach Tyler Eisen,http://www.wikidata.org/entity/Q139392
Q175907,Héctor Elizondo,http://www.wikidata.org/entity/Q313433
Q175907,George Fenton,http://www.wikidata.org/entity/Q920167
Q175907,Michael Brook,http://www.wikidata.org/entity/Q1349166
Q175907,Bono,http://www.wikidata.org/entity/Q834621
Q175907,Kathryn Erbe,http://www.wikidata.org/entity/Q436839
Q175907,Stephen Dorff,http://www.wikidata.org/entity/Q334195
Q175907,Paul Guilfoyle,http://www.wikidata.org/entity/Q464744
Q175907,Larry Mullen Jr.,http://www.wikidata.org/entity/Q814065
Q175907,Frank Vincent,http://www.wikidata.org/entity/Q463407
Q175907,Jordan Cronenweth,http://www.wikidata.org/entity/Q715198
Q175907,Giorgio Moroder,http://www.wikidata.org/entity/Q312674
Q175907,Debbie Harry,http://www.wikidata.org/entity/Q215026
Q175907,Jimi Hendrix,http://www.wikidata.org/entity/Q5928
Q175907,Benmont Tench,http://www.wikidata.org/entity/Q375055
Q175907,Edna Wright,http://www.wikidata.org/entity/Q66699937
Q175907,B. B. King,http://www.wikidata.org/entity/Q188969
Q175907,Danger Mouse,http://www.wikidata.org/entity/Q322915
Q175907,Sterling Magee,http://www.wikidata.org/entity/Q105898209
Q175907,Bob Dylan,http://www.wikidata.org/entity/Q392
Q175907,David Bowie,http://www.wikidata.org/entity/Q5383
Q175907,Patti Smith,http://www.wikidata.org/entity/Q557
Q175907,Van Morrison,http://www.wikidata.org/entity/Q272203
Q175907,Martin Luther King Jr.,http://www.wikidata.org/entity/Q8027
Q175907,Steve Lillywhite,http://www.wikidata.org/entity/Q740610
Q175907,Lee Clayton,http://www.wikidata.org/entity/Q1149668
Q175907,Marc Bolan,http://www.wikidata.org/entity/Q287514
Q175907,Paul McGuinness,http://www.wikidata.org/entity/Q1317221
Q175907,Dik Evans,http://www.wikidata.org/entity/Q2136220
Q175907,Mark Pellington,http://www.wikidata.org/entity/Q662257
Q175907,Flood,http://www.wikidata.org/entity/Q1350758
Q175907,Roy Orbison,http://www.wikidata.org/entity/Q188426
Q175907,Catherine Owens,http://www.wikidata.org/entity/Q128673989
Q175907,Guy Oseary,http://www.wikidata.org/entity/Q5622519
Q102345399,Carles Simó,http://www.wikidata.org/entity/Q1041631
Q102345399,Armengol Gasull,http://www.wikidata.org/entity/Q102090448
Q102345399,Lluís Alsedà i Soler,http://www.wikidata.org/entity/Q102191195
Q102345399,Pere Mumbrú,http://www.wikidata.org/entity/Q102225709
Q102345399,Xavier Jarque i Ribera,http://www.wikidata.org/entity/Q102272902
Q102345399,Anna Cima,http://www.wikidata.org/entity/Q102272887
Q102345399,Antonio E. Teruel,http://www.wikidata.org/entity/Q102272906
Q102345399,Chara Pantazi,http://www.wikidata.org/entity/Q102272907
Q102345399,Ana Sá,http://www.wikidata.org/entity/Q102272911
Q102345399,Ana Nunes,http://www.wikidata.org/entity/Q102272915
Q102345399,Dante Leal Maranhão,http://www.wikidata.org/entity/Q102272909
Q102345399,Martha Álvarez,http://www.wikidata.org/entity/Q102272903
Q102345399,Bartomeu Coll,http://www.wikidata.org/entity/Q102272919
Q102345399,Conchita Piñol,http://www.wikidata.org/entity/Q102272918
Q102345399,Marcia P. Dantas,http://www.wikidata.org/entity/Q102272905
Q102345399,Josep M. Cors,http://www.wikidata.org/entity/Q102272908
Q102345399,M. Carme Leseduarte,http://www.wikidata.org/entity/Q102272910
Q102345399,Montserrat Corbera,http://www.wikidata.org/entity/Q102272904
Q102345399,Jaume Soler,http://www.wikidata.org/entity/Q102272912
Q102345399,Joan Carles Artés,http://www.wikidata.org/entity/Q102272913
